,network,station,location,channel,lat,lon,elev ,Unnamed: 7,Unnamed: 8,i,j
5, ,5,DART46410,,57.6353,-143.7992,,,,431,87
6, ,6,DART46409,,55.30056,-148.49944,,,,396,105
7, ,7,DART46403,,52.6389,-156.935,,,,332,125
