,network,station,location,channel,lat,lon,elev ,Unnamed: 7,Unnamed: 8,i,j
3, ,3,DART46407,,42.6639,-128.8136,,,,543,200
4, ,4,DART46411,,39.3425,-127.0208,,,,557,224
