,network,station,location,channel,lat,lon,elev ,Unnamed: 7,Unnamed: 8,i,j
0, ,0,epi center, ,52.5,-132.25, ,,,518,126
1, ,1,DART46419,,48.76861,-129.62683,,,,537,154
2, ,2,DART46404,,45.8525,-128.78,,,,544,176
